제목,날짜,abstract
집단미술치료 프로그램에 참여한 결혼이주여성의 자아존중감과 주관적 안녕감 변화,2020.1,"이 연구는 충남지역 한 도시에 거주하고 있는 결혼이주여성 7명의 자아존중감과 주관적 안녕감이 집단미술치료 프로그램 참여 전후로 어떻게 변화하였는지 분석하고, 매 회기 이주여성들이 어떠한 경험을 하였는지 살펴보았다.  이 프로그램에 참여하지 않은 7명의 결혼이주여성을 통제집단으로 구성하여 맨 휘트니 U 검정(Mann-Whitney U test)을 실시한 결과, 참여집단과 통제집단 간 자아존중감과 주관적 안녕감 사전검사 점수의 차이는 없었다.  윌콕슨 부호 순위 검정(Wilcoxon singed-rank test)을 통해 프로그램 종료 직후 실시한 사후검사 점수를 사전점수와 비교한 결과, 통제집단에서는 사전-사후 점수 차이가 없었다.  참여집단에서는 주관적 안녕감 총점과 하위 요인 중 긍정정서가 사전점수보다 향상되었으며, 자아존중감과 부정정서, 삶의 만족에는 유의한 차이가 없었다.  참여집단에 한하여 프로그램 종료 2개월 후 추후검사를 실시하고 사전점수와 비교하였다."
애니메이션 미술치료에 담긴 트랜스젠더의 이상과 현실적 삶에 관한 내러티브 탐구,2020.1,"본 연구는 미술치료에서 애니메이션을 제작하는 활동을 통해 트랜스젠더 여성의 삶을 탐구하고 애니메이션 작업이 지니는 치유적 의미를 질적으로 탐색하는 데 목적이 있다.  연구를 위해 일상 속 경험에 담긴 이야기의 구조와 의미를 이해하기에 적절한 내러티브 탐구를 적용하였다.  만 35세의 트랜스젠더 여성 '나나'(가명)가 연구에 참여하였으며, 미술치료는 평균 주 2회씩 120분간 총 16회기에 걸쳐 진행되었다.  애니메이션을 통해 과거부터 현재까지 심층적으로 재구성한 참여자의 삶에 대한 경험은 '여자 줄에 서면 안돼?', '너구나, 이상한 목소리가…. ', '맞지 않는 옷', '이중생활의 시작', '남자로 살려고 노력은 해보자', '사랑의 페르소나', '음지에서 양지로'의 7가지 이야기로 생성되었으며, 이는 '트랜스젠더와 성별불쾌감', '트랜스젠더와 그들의 목소리', '트랜스젠더의 익숙한 외로움', '트랜스젠더의 수치심', '트랜스젠더의 소망'의 5개의 주제로 다시 이야기되었다."
'센과 치히로의 행방불명' 캐릭터의 자기심리학적 의미 분석과 미술치료로의 적용,2020.1,"본 연구는 미야자키 하야오의 애니메이션 '센과 치히로의 행방불명'에 등장하는 가오나시와 유바바, 그리고 제니바를 자기심리학적 관점에서 분석하여 미술치료 현장에 적용하고자 하는 기초자료로 실시되었다.  자기심리학적 관점에서 가오나시와 유바바는 자기대상이 충족되는 두 개의 축인 이상화와 과대자기의 원시적 자기애를 상징한다.  제니바는 이 두 개의 축이 자아의 망에 통합되어 성숙한 자기애로 자기대상이 되어줄 수 있는 치료사의 상을 보여준다.  이들 캐릭터의 특성과 선택, 갈등 극복의 과정에 대한 동일시와 이야기 재구성은 건강한 자기의 발달을 촉진할 수 있다.  또한 공감과 해석, 역전이 사용, 변형적 내재화를 제공하여 건강한 자기애를 촉진할 수 있는 창조적이고 안전한 통로가 될 수 있다."
집단미술치료 프로그램이 후기 청소년의 사회불안 완화에 미치는 효과,2020.1,
콜라주 미술치료 프로그램이 지적장애학생의 정서표현에 미치는 효과,2019.1,"본 연구의 목적은 콜라주 미술치료 프로그램이 지적장애학생의 정서표현에 미치는 효과를 검증하는 것이다.  연구대상자는 A시에 소재한 10개 중학교 특수학급에 재학하는 지적장애 3급의 학생 중에 정서표현이 어려움이있는 학생 12명을 담임교사로 부터 추천을 받았다.  이 중에서 공격성과 충동성이 있는 학생은 배제하며 정서인식 및 표현척도(EESC) 점수가 48점 이상이고 미술치료에 거부감이 없으며 40분 착석이 가능한 3명을 부모의동의를 받아 최종 연구대상자로 선정하였다.  연구 장소는 A시에 위치한 B미술치료연구소이며 콜라주 미술치료프로그램은 총 5단계로 주 2회, 1회기에 40분씩 총 16회기를 진행되었다.  실험은 콜라주 미술치료 프로그램을독립변인으로 하고, 정서표현을 종속변인으로 한 단일대상연구 중에서 A-B설계를 설정하였으며, 중재가 종결된지 2주 후에 유지를 실시하였다."
등교거부 청소년의 등교거부 및 우울감 감소를 위한 인간중심 미술치료 사례연구,2019.1,"본 연구는 인간중심 미술치료가 등교거부 청소년의 등교거부 및 우울감 감소에 미치는 영향을 알아보는데 목적이 있다.  연구대상은 만 14세 중학교 2학년 남학생으로 지속된 등교거부로 유급 위기에 있었으며 우울감과 무기력을 호소하는 남학생이다.  연구의 진행은 2018년 6월부터 11월까지 주 1회 60분씩 총 16회 진행되었다.  연구도구는 등교거부경향성 척도(SRAS-R-C), 우울 척도(CES-D), 집-나무-사람(HTP)그림검사, 동적가족화(KFD)그림검사이며, 각 회기 활동을 관찰하였고 치료과정에서의 변화를 기록하였다.  본 연구를 통해 얻은 결과는 다음과 같다."
우울한 아동을 위한  집단미술치료 효과에 대한 메타분석,2019.1,"본 연구의 목적은 우울한 아동을 위한 집단미술치료에 대한 연구결과를 메타분석 방법을 통해 효과 정도를 분석한 것이다.  이를 위해 2000년부터 2015년까지 국내에서 발행된 학위 논문과 학술지 논문 중 우울을 종속변인으로 하고, 미술치료를 중재방법으로 설정한 논문을 대상으로 체계적 문헌고찰 및 메타분석을 실시하였다.  최초 검색된 논문은 총 1,302편이었으며, 연구의 동향 파악을 위한 분석 논문은 총 43편, 메타분석을 위한 분석 논문은 총 14편이었다.  본 연구에서 나타난 연구결과는 다음과 같다.  첫째, 아동의 우울감소를 위한 미술치료 연구는 2000년부터 시작되었으나 2005년까지는 1년에 한두 편으로 연구되거나 아예 연구되지 않은 해도 있었다."
"애도를 위한 집단미술치료가 배우자 사별노인의 애도, 우울 및 자아통합감에 미치는 효과",2019.1,"본 연구는 애도를 위한 집단미술치료를 배우자 사별노인 대상으로 실시하여 애도, 우울과 자아통합감에 미치는 효과를 검증하는데 목적을 두었다.  이러한 목적을 이루기 위해서 부산광역시 노인복지관을 이용하고 있는 26명의 배우자 사별노인으로 무선 표집하여 실험집단에 13명, 통제집단에 13명을 배치하여 실험을 실시하였다.  실험집단에는 주 1회 180분씩 총 8회기의 애도를 위한 집단미술치료를 실시하였으며, 같은 기간 동안 통제집단에 대해서는 아무런 처치를 가하지 않았다.  측정도구로는 애도 척도와 우울 척도, 자아통합감 척도를 사용하였다.  본 연구의 결과는 다음과 같다."
공감중심 집단미술치료 프로그램이 대학생의 의사소통 및 인간관계에 미치는 영향,2019.1,"본 연구의 목적은 공감중심의 집단미술치료 프로그램을 대학생에게 적용하고, 의사소통 및 인간관계 능력에 미치는 영향을 검증하는 것이다.  연구목적을 달성하기 위하여 경기지역 대학생 26명을 무작위로 실험집단 11명과 통제집단 15명으로 구성하였다.  실험집단을 대상으로 공감중심 집단미술치료를 주1회 2시간씩 10회기 실시하였다.  측정도구는 의사소통 능력 척도(PCI, Primary Communication Inventory)와 인간관계 척도(RCS, Relationship Change Scale)이며 사전, 사후 점수에 대해 공분산분석(ANCOVA)을 실시하였다.  주요 연구 결과를 정리하면 다음과 같다."
사회불안성향 여대생의 사회불안 및 자아존중감에 대한  인지행동적 집단미술치료의 효과,2019.1,"본 연구는 사회불안 성향이 있는 여대생들의 사회불안과 자아존중감에 대한 인지행동적 집단미술치료의 효과를 알아보고자 하였다.  이를 위해 수도권 소재 한 대학교에서 대인관계나 발표불안에 어려움이 있는 여학생들을 모집하여 총 10회기의 인지행동적 집단미술치료를 실시하여 사전-사후검사를 통해 그 변화를 살펴보았다.  사회불안은 사회적 회피 및 불편감척도(SADS)와 발표불안 척도(SAS)를, 자아존중감은 자아존중감 척도(SES)를 사용하여 양적 분석을 하였다.  그 결과, 첫째, 프로그램 실시 후 여대생의 사회적 회피 및 불편감이 유의미하게 감소하였고, 둘째, 발표불안도 감소하였으며, 셋째, 자아존중감이 증가하였다.  즉, 인지행동적 집단미술치료가 여대생의 사회불안 감소와 자아존중감 향상에 효과가 있었다."
"현실치료를 기반으로 한 집단미술치료가 아동의 일상적 스트레스, 내외 통제성 및 자기효능감에 미치는 효과",2019.1,"본 연구는 현실치료를 기반으로 한 집단미술치료가 아동의 일상적 스트레스, 내외 통제성 및 자기효능감에 미치는 효과를 검증하고자 하였다.  연구대상은 H시 소재 K초등학교 교사의 추천에 의하여 의뢰된 4~6학년 아동 중 본인의 참여의사와 부모의 동의를 얻은 아동으로 총 10명을 선정하였으며, 2018년 9월부터 12월까지 주 1회 60~90분씩 총 16회기의 현실치료를 기반으로 한 집단미술치료를 시행하였다.  연구를 위한 측정도구로는 일상적 스트레스 척도(DHQ-C), 내외통제성 척도(IECS), 자기효능감 척도(SES)를 사전․사후에 실시하였다.  자료 분석은 SPSS 프로그램을 사용하여 사전-사후 결과에 대한 양적 및 질적 분석을 시행하였다.  본 연구의 결과는 다음과 같다."
"미술치료의 상징과 주역(周易) 상징의 상관성 비교 연구-물과 달, 태양, 꽃, 산 주제를 중심으로",2019.1,"본 연구는 내담자의 무의식적 내용물이 상징적으로 표현된 미술작품을 해석할 때 적용하는 미술치료의 상징이 가진 보편성과 더불어 그 문화적 맥락의 특수성을 함께 조명해서, 내담자의 심리를 더 잘 이해할 수 있는 방법론을 모색하려는 것이다.  이를 위해 우리의 문화에서 상징의 저수지로 평가되는  주역 의 상징과 미술치료의 상징을 비교하여 그 상관성을 살펴보고자 한다.  분석심리학의 창시자 융은 인간을 이해하기 위해서는 개인무의식 뿐만 아니라, 집단무의식까지 알아야 한다고 했다.  개인무의식은 개인의 성장배경에 따른 환경이 우선이지만, 집단무의 식은 개인이 속한 역사와 문화의 오랜 경험을 포함하고 있다.  이는 집단무의식의 기초를 구성하는 원형적 이미지들 을 이해하기 위해서는 상징의 보편성뿐만 아니라 문화적 상대성도 고려해야 하는 것을 함축한다."
동화활용 집단미술치료가 유아의 사회적 유능감에 미치는 효과,2019.1,"본 연구는 동화활용 집단미술치료가 유아의 사회적 유능감에 미치는 효과를 알아보는 데 그 목적이 있다.  연구대상은 U 시에 소재하는 어린이집의 7세(만 5세) 유아들 가운데 사회적 유능감이 낮은 유아 20명을 선정하여 실험집단, 통제집단에 각 10명씩 배치하였다.  실험집단은 2018년 4월 3일부터 5월 10일까지 주 2회씩 사전․사후 검사를 제외한 총 12회기로 매회기 60분씩 집단미술치료를 실시하였다.  연구 도구는 이혜원(2005)이 개발한 교사용 유아의 사회적 유능감 검사를 사전․사후평가에 사용하였으며, 자료 분석은 먼저, 독립표본 t-test를 이용하여 실험집단과 통제집단의 동질성 검증을 하였으며, 반복측정 분산분석(repeated measure ANOVA)을 하여 실험집단과 통제집단 전체 사회 유능감과 각 하위요인에 대하여 사전․사후 검사를 통해 프로그램의 효과성을 검증하였다.  그 결과, 동화활용 집단미술치료는 유아의 전체 사회적 유능감과 하위영역인 사회적 규범 이해, 정서성, 정서조절, 또래관계기술에 긍정적인 효과가 미치는 것으로 나타났다."
해결중심 집단미술치료가 대학생의 진로결정자기효능감과 문제해결능력에 미치는 효과,2019.1,"본 연구는 해결중심 집단미술치료가 대학생의 진로결정 자기효능감과 문제해결능력에 미치는 효과를 알아보자 하였다.  본 연구 대상은 C시에 소재한 H대학 1∼4학년 학생 중 교양강좌로 미술치료를 듣는 학생들을 대상으로 60명에게 프로그램을 안내하였으며 이들 중 해결중심 미술치료 프로그램에 참가 동의하여 동의서를 제출한 16명을 선정하여 실험집단 8명과 통제집단 8명으로 무선배치를 하였다.  연구기간은 2018년 9월부터 10월까지 주 1회, 회기 당 70분씩, 총 8회기의 해결중심 집단미술치료를 실시하였다.  측정도구는 진로결정 자기효능감 CDMSES-SF(Career Decision-Making Self-Efficacy Scale-Short Form)과 문제해결능력 검사 PSI(Problem Solving Inventory)를 사용하여 사전․사후로 실시하여 분석하였다.  자료처리는 실험집단과 통제집단의 사전 동질성 검증을 위하여 비모수통계방법 맨 휘트니 U 검증(Mann-Whitney U Test)를 실시하였고, 사전-사후검증을 위하여 비모수통계방법 Wilcoxon의 부호 순위 검증을 실시하였다."
미술치료 전공 석사과정생의 다문화가정 아동 현장실습 체험연구,2019.1,"본 연구는 미술치료 전공 석사과정생이 다문화가정 아동과의 현장실습에서 어떠한 경험을 하며, 그 의미와 본질은 무엇인지를 탐구하여 그들의 체험을 이해하는 데 목적이 있다.  이를 위해 다문화가정 아동 미술치료 현장실습 경험이 있는 석사과정생 6명을 참여자로 선정하고, Max van Manen의 해석학적 현상학적 연구방법 절차에 근거하여 7개의 본질적 주제와 19개의 하위 주제를 도출하였다.  이에 따른 본 연구의 결론은 다음과 같다.  첫째, 참여자들은 학문적 고정관념과 자신이 가진 편견 및 선입견을 경계 할 때만이 내담자에 대한 적절한 치료가 이루어질 수 있다는 점을 각성하게 된다.  둘째, 참여자들은 현장실습 과정에서 다양한 문제를 겪으며 이론적 이해뿐만 아니라 실무에 관한 훈련 및 슈퍼비전의 중요성을 깨닫는다."
재한 중국인 유학생들의 자기이해를 위한  집단미술치료 경험에 대한 현상학적 연구,2019.1,"본 연구는 중국인 미술치료사가 진행한 집단미술치료에서 재한 중국인 유학생들이 어떠한 경험을 하며, 그 경험의 본질이 무엇인지를 탐구하는 데 목적이 있다.  이를 위해 집단미술치료 경험이 있는 재한 중국인 유학생 8인을 대상으로 2018년 11월부터 2019년 5월까지 심층 면담을 통해 자료를 수집하였다.  Max van Manen의 해석학적 현상학적 연구 방법 절차에 근거하여 6개의 본질적 주제와 15개의 하위 주제가 도출되었으며, 이를 바탕으로 한 결론은 다음과 같다.  첫째, 재한 중국인 유학생들은 타국에서 같은 언어를 사용하는 집단원들과 함께 하는 미술활동과 나눔을 통해 위로를 받고 그 안에서 소속감을 갖게 됨으로써 유학생활의 적응을 높이는 정서적 지지체계를 확장하게 되었다.  둘째, 재한 중국인 유학생들은 자신을 지지해주는 안전한 공간에서 미술을 매개로 솔직한 감정을 탐색하고 자신도 미처 알지 못했던 새로운 알아차림은 유학생활의 적응을 높일 뿐만 아니라 미래를 계획하는 자원이 되었다."
자연친화적 매체를 적용한 집단미술치료가 유아의 정서지능에 미치는 효과,2019.1,"본 연구는 자연친화적 매체를 적용한 집단미술치료가 유아의 정서지능에 효과가 있는지 알아보고자 하였다.  연구대상은 B시의 S어린이집에 다니며 발달에 특별한 문제가 없는 6세 일반 유아 30명 중 자연친화적 매체를 적용한 집단미술치료에 참여를 희망하여 부모 동의서에 서명을 하고 사전 정서지능 검사에서 점수가 평균 125에서 ±10 사이인 유아 16명을 선정하여 실험 및 통제집단으로 각각 8명씩 무선 배정하였다.  연구기간은 2018년 6월부터 7월까지 주 2회, 50분씩 12회기를 진행하였다.  정서지능을 측정하기 위한 연구도구는 정서지능 검사를 사용하여 양적 분석하였고, 인물화 검사를 사용하여 질적 분석하였다.  본 연구결과를 요약하면 다음과 같다."
사회적 지지 집단미술치료가 공무원의 직무스트레스와 조직몰입에 미치는 효과,2019.1,"본 연구는 사회적 지지 집단미술치료가 공무원의 직무스트레스와 조직몰입에 미치는 효과를 알아보고자 하였다.  이를 위해 충청도내 A시청 공무원을 대상으로 실험군과 대조군 각각 10명씩 모두 20명을 선정하였고, 2017년 10월부터 12월까지 주 1회 120분씩 총 8회기의 집단미술치료를 실시하였다.  치료적 효과를 알아보기 위하여 한국인 직무스트레스 측정도구, 조직몰입척도를 집단미술치료 프로그램 전과 후에 시행하였으며, 자료 분석 방법으로 대응표본 t-검정을 실시하였다.  본 연구의 결과를 요약하면 다음과 같다.  첫째, 사회적 지지 집단미술치료가 공무원의 직무스트레스에 미치는 효과를 알아본 결과, 미술치료 실시 후 직무스트레스가 감소하였으나 통계적으로 유의하지는 않았고, 직무스트레스의 하위 요인 중 직무요구에서 통계적으로 유의미한 변화를 보였다."
집단미술치료가 청소년 축구선수들의 의사소통만족과 집단응집력에 미치는 효과,2019.1,본 연구의 목적은 청소년 축구선수들을 대상으로 집단미술치료 프로그램을 실시하여 의사소통만족과 집단응집력에 미치는 효과에 대해 알아보고자 하였다.  연구대상은 S시 K구의 고등학생 축구협회에 소속되어 있는 12명 중 프로그램 참여를 희망한 자들로 구성하였다.  연구 참여자는 총 12명을 실험집단 6명과 통제집단 6명을 무선으로 배치하여 연구를 진행하였다.  연구기간은 2018년 5월부터 8월까지이며 사전검사와 사후검사를 제외한 총 12회기 프로그램을 실험집단에게 주 1회 60분씩 실시하였다.  연구도구로는 의사소통만족 척도와 집단응집력 척도를 사용하였고 연구결과의 양적 분석은 SPSS 22.
미술치료의 신의료기술평가를 위한 제반사항 및 단계별 전략,2019.1,"근거중심임상(Evidence Based Practice)에서 미술치료는 의학적 도움이 필요한 이들에게 긍정적인 건강개선 효과들에 대한 근거들이 보고되고 있다.  신의료행위는 신의료기술평가 제도를 통해 국민건강보험 등재 여부를 결정한다.  신의료기술은 첫째, 안전성 및 유효성, 둘째, 경제성평가, 셋째, 체계적 문헌고찰을 통한 가이드라인 존재 여부를 주요 심사 조건으로 심의하고 있다.  최근 들어 영국 중심으로 미술치료의 안전성 및 유효성 연구, 경제성평가 연구 출현이 증가하고 있으며, 체계적 문헌고찰을 통한 가이드라인이 활발하게 개발되고 있다.  증가하고 있는 국내외 미술치료 근거를 발판 삼아 미술치료의 의료기술화를 위한 단계별 전략이 필요한 시점이다."
장애아 집단미술치료 효과에 대한 메타분석,2019.1,"본 연구는 2001년부터 2018년까지 국내에서 진행된 장애아 대상 집단미술치료의 성과연구 34편을 메타분석하여 전반적인 특성과 효과를 살펴보는데 목적이 있다.  R프로그램으로 효과크기, 이질성, 출간오류분석 등을 산출하여 조절효과분석 뿐만이 아니라 연구결과의 타당성을 검증하였다.  연구결과로 첫째, 2011년 이후 출판된 연구물은 장애 청소년 대상 연구가 점차적으로 증가하였다.  둘째, 73개의 분석대상 논문들에서 산출된 48개의 정적 평균 효과 크기는 Hedges' g=1. 428로, 25개의 부적 평균 효과크기는 Hedges' g=-1."
산후우울 예방과 치료를 위한 회복탄력성 증진 집단미술치료 프로그램 개발,2019.1,"본 연구는 산후우울의 예방과 치료를 위한 회복탄력성 증진 집단미술치료 프로그램을 개발하는데 그 목적이있다.  산후우울과 회복탄력성 관련 국내외 문헌과 선행연구를 분석하여 프로그램의 이론적 구성근거를 마련하였다.  또한 설문조사와 면접조사를 통해 산후조리원 이용 산모들의 심리․정서적 상태를 구체적으로 파악하였고 이를 바탕으로 프로그램의 목표와 주제를 설정하고 세부내용을 구안하였다.  설문조사에서 서울, 경기, 인천지역에 위치한 산후조리원 이용 산모를 대상으로 회복탄력성 검사와 산후우울 검사를 실시하였고 수집된 자료를 회귀분석과 요인분석에 사용하였다.  분석 결과, 산모의 회복탄력성은 산후우울과 부적인 관계에 있는 것으로 나타났다."
불안정애착 성인여성의 애착앨범 중심 집단미술치료 체험연구-현상학적 접근,2019.1,"본 연구의 목적은 불안정애착 성인여성이 애착앨범 중심 미술치료를 통해 무엇을 체험하였으며 체험의 의미와 본질은 무엇인지 알아보는 것이다.  연구 참여자는 성인 애착 척도(ECR-R)와 새둥지화(BND) 그림검사에서불안정애착으로 나타난 성인여성 10명으로 선정하였다.  자료 수집은 2015년 5월부터 8월까지 애착앨범 중심 미술치료 집단을 주 1회 하루 8시간씩 총 4회 실시한 후, 1대 1 심층 면담과 전화 면담을 2회에서 최대 3회까지실시하였고 수집한 자료들은 Max van Manen의 해석학적 현상학 연구방법에 따라 분석하였다.  연구 결과는 다음과 같다.  하위주제 20개와 본질적 주제 8개를 도출하였고 8개의 본질적 주제는 “치료사의 정성 어린 선물(반응 애착물)을 통해 엄마의 따뜻함을 경험함”, “치료사의 반응 미술작품을 통해 공감적 이해를 경험함”, “과거작업을 통해 엄마의 사랑을 재확인함”, “애착앨범 작업을 할 때 묵은 감정이 해소됨”, “부드러운 매체와 색을통해 엄마와의 관계를 재구성함”, “바느질을 통해 집중과 밀착을 경험함”, “타인과의 관계를 통해 엄마의 관심을 충족함”, “집단원의 지지를 통해 존재감을 느낌”이다."
집단미술치료 프로그램이 보육교사의 심리적 안녕감에 미치는 효과,2019.1,"본 연구의 목적은 집단미술치료 프로그램이 보육교사의 심리적 안녕감에 미치는 효과를 검증하는데 있다.  연구대상은 부산광역시에 있는 어린이집 보육교사 24명으로, 실험집단 12명, 통제집단 12명으로 구성하였다.  프로그램은 주2회로 회기당 80분씩 총 12회기를 실시하였다.  연구도구는 심리적 안녕감 척도를 사용하였다.  자료 분석은 양적 분석과 질적 분석을 병행한 혼합분석 방법을 적용하였다."
노인 우울에 대한 미술치료 연구동향 분석: 2000년~2017년 학위논문을 중심으로,2019.1,"본 연구는 노인 우울에 대한 미술치료 연구 동향 분석을 목적으로 2000년부터 2017년 8월까지 국내 학위논문을 중심으로 석사 69편, 박사 5편으로 총 74편을 분석하였다.  분석 대상 논문을 연구 대상(성별, 임상유형, 참여자 수), 연구 설계(실험 설계, 측정도구, 참여 형태, 분석 방법), 연구 내용(연구 주제, 총 치료회기 수, 치료회기 당 시간, 진행 장소)으로 구분하였다.  분석 기준에 따라 빈도와 백분율을 구한 결과는 다음과 같다.  첫째, 연구 대상에서 성별은 혼성 집단, 일반적인 증상을 포함한 일반 노인, 참여자 수는 5∼8명을 대상으로 진행하는연구가 많았다.  둘째, 연구 방법에서 연구 설계는 실험 통제집단, 측정도구는 한국판 노인우울척도(GDS-K), 참여 형태는 집단 형태, 연구 유형은 통합적 분석이 많은 것으로 나타났다."
집단미술치료가 다문화가정 아동의  자아효능감 및 학교생활적응에 미치는 효과,2019.1,"본 연구는 집단미술치료가 다문화가정 아동의 자아효능감 및 학교생활적응에 미치는 효과를 알아보는 데 그 목적이 있다.  연구 대상은 A시에 소재한 T초등학교 돌봄 교실에 다니는 1, 2학년 다문화가정 아동을 10명 선정하여 각각 5명의 실험집단과 통제집단으로 배정하고 2016년 11월부터 2017년 2월까지 주 2회 90분씩 총 20회기에 걸쳐 프로그램을 실시하였다.  측정 도구는 집단미술치료의 명료성을 위해 양적 분석인 자아효능감검사와 학교생활적응검사로 객관화하였으며, 질적 분석은 동적학교생활화(KSD)검사를 바탕으로 연구하였다.  본 연구결과를 요약하면 다음과 같다.  첫째, 집단미술치료가 다문화가정 아동의 자아효능감에 미친 영향은 자아효능감의 하위영역인 자신감, 과제난이도에 긍정적인 변화가 있었으나 자아조절효능감은 유의한 차이가 나타나지 않았다."
젠탱글 활용 미술치료가 평생교육센터 이용 발달장애인의 주의집중력에 미치는 효과,2019.6,"본 연구의 목적은 평생교육센터 이용 발달장애인을 대상으로 잰탱글 활용 미술치료가 발달장애인의주의집중력에 미치는 효과를 살펴보고자 하였다.  본 연구대상은 K시 D대내 평생교육센터 이용 발달장애인 19명으로 실험집단인 젠탱글 활용 미술치료 집단에 9명, 통제집단 대상자가 10명 배정하였다.  연구도구는 실험집단의 경우, 3. 5X3. 5인치의 종이카드, 다양한 색상의 데코마카, 젠탱글 시범카드를 준비하였으며, 효과 측정도구로는 주의력 및 뇌파 측정을 위한 FAIR검사와 MindwaveMobile (MWM)기기를 사용하였다."
가족미술치료가 사별가족의 애도와 정서안정에 미치는 영향,2019.1,"본 연구는 가족원의 사별 경험으로 인해 현재의 삶에서 우울과 불안이 높고 무기력하며 사회적 관계 맺음에큰 어려움을 보이는 두 가족을 선택하여 가족미술치료를 실시하였다.  가족전체의 애도를 중심으로 각 가족원의개인적 외상을 다뤄보고, 떠나보냄을 통해 정서적 안정에 미치는 영향을 검증하고자 하였다.  본 연구의 사례 1 가족은 G시 소재 S중학교 2학년 여학생의 가족이다.  엄마와 중2 딸 1명, 중1 딸 1명으로 구성되어 있는 한부모가족이다.  사례 2 가족은 G시 소재 S중학교 3학년 남학생 가족이다."
애착중심 집단미술치료가 초기 청소년의 애착행동 및 스마트폰 과의존에 미치는 효과,2019.1,"본 연구의 목적은 청소년에게 애착중심 집단미술치료 프로그램을 실시하여 스마트폰 과의존 수준을 낮추는데 효과가 있는지 알아보는 것이다.  연구의 대상은 G시 000초등학교 6학년 총 143명을 대상으로 한국형 스마트폰 자가진단 척도인 S-척도 검사를 실시하여 잠재적 위험 사용자군 이상의 점수로 분류된 대상자들 중에서 부모의 동의하에 본인이 참여를 원하는 10명으로 실험집단 5명, 대기자집단 5명이다.  연구도구는 한국형 청소년 스마트폰 중독 자가진단 척도(S-척도)와 부모애착 척도(IPPA-R)와 새둥지화 그림검사(BND)이며 사전⋅사후⋅추후에 실시하였다.  프로그램의 효과성을 검증하기 위해 집단과 검사 시기에 따라 Kruskal Wallis Test를 실시하였다.  본 연구의 결과 첫째, 스마트폰 과의존에 미치는 효과를 분석한 결과 실험집단은 사전⋅사후⋅추후에서 통계적으로도 유의미한 차이를 보였다."
종이매체를 활용한 집단미술치료가 치매노인의 인지기능과 소근육 운동에 미치는 효과,2019.1,"본 연구는 종이매체를 활용한 집단미술치료가 치매노인의 인지기능과 소근육 운동에 어떠한 효과를 미치는지 살펴보고자 하였다.  본 연구에서는 서울시 K구 데이케어센터를 이용하는 치매노인들 가운데 MMSE-K를 실시하여 총점이 19점 이하에 해당되는 경증 치매노인으로, 실험집단 8명, 통제집단 8명 총 16명을 선정하여 무선배치하고 실험집단은 2017년 10월부터 2018년 2월까지 총 15회기 프로그램을 매주 1회씩 60분간 진행하였다.  인지기능과 소근육 운동을 측정하기 위해 한국어판 MMSE-K와 인물화 그림검사, KISE발달척도를 사용하여 점수를 측정하였다.  윌콕슨 검증으로 양적분석을 하고, 인물화 그림에서는 녹음과 관찰, 형식적․내용적 분석을 통한 질적 분석을 하였다.  연구의 결과로 첫째, 치매노인의 하위요인인 4개의 영역과 전체결과에서 유의미한 차이를 볼 수 있었다."
"집단 미술치료의 노인 우울, 자아존중감, 삶의 질 개선 효과",2020.1,"본 연구의 목적은 농촌 노인들에 있어서 집단미술치료가 우울 감소, 자아존중감 향상, 그리고 삶의 질 향상에 효과가 있는지 여부의 검증에 있다.  이러한 연구의 목적을 달성하기 위해 이를 위해 전남지역 곡성군 K면에 있는 M마을 노인들을 대상으로 집단 미술치료를 실행하고 노인 우울, 자아존중감, 삶의 질 등에 관한 측정을 통해 집단 미술치료 전과 후를 비교 분석하였다.  그 분석결과, 집단 미술치료는 노인들에게 우울, 자아존중감, 삶의 질에서 유의미한 변화를 가져온 것으로 나타났다.  우울에 있어서는 20명 참가자 중 15명의 사후 결과 응답자 모두에서 우울이 감소한 것으로 나타났으며, 자아존중감과 삶의 질 척도에서는 15명이 사후 검사 결과에서 향상된 것으로 나타나 집단 미술치료가 농촌 노인들에게 긍정적인 방향으로 변화를 가져온 것을 보였다.  따라서 농촌노인들의 우울 감소와 자아존중감 향상을 위해 집단 미술치료 프로그램의 실시가 검토될 수 있음을 보여 주었다."
